order_id,order_date,customer_name,email,country,category,quantity,unit_price,customer_age,revenue
ORD3316,2024-07-18,Paul Becker,paul.becker@example.com,Netherlands,Electronics,2.0,522.54,44.0,1045.08
ORD1515,2024-01-04,Anna Schmidt,anna.schmidt@example.com,Germany,Electronics,2.0,1083.82,29.0,2167.64
ORD2867,2024-04-07,Felix Weber,felix.weber@example.com,Spain,Office Supplies,3.0,459.81,60.0,1379.43
ORD3420,2024-01-16,Sofia Klein,sofia.klein@example.com,UK,Furniture,3.0,1041.54,52.0,3124.62
ORD1842,2024-05-29,Paul Schmidt,paul.schmidt@example.com,France,Furniture,5.0,315.68,36.0,1578.4
ORD1263,2024-03-23,Sofia Wagner,sofia.wagner@example.com,Germany,Furniture,3.0,757.55,43.0,2272.65
ORD3379,2024-02-16,Anna Becker,anna.becker@example.com,UK,Office Supplies,4.0,731.28,24.0,
ORD1221,2024-03-06,Lukas Klein,lukas.klein@example.com,Netherlands,Office Supplies,,153.12,28.0,
ORD1312,2024-10-08,Lukas Schmidt,lukas.schmidt@example.com,Spain,Electronics,3.0,265.33,42.0,795.99
ORD2845,2024-07-06,Anna Klein,anna.klein@example.com,Germany,Office Supplies,1.0,1418.42,46.0,1418.42
ORD2395,2024-07-27,Sofia Wagner,sofia.wagner@example.com,Spain,Office Supplies,5.0,1179.3,24.0,5896.5
ORD2368,2024-03-18,Sofia Weber,sofia.weber@example.com,Germany,Electronics,1.0,615.44,29.0,615.44
ORD3303,2024-08-16,Jonas Weber,jonas.weber@example.com,France,Electronics,4.0,1077.91,44.0,4311.64
ORD1463,2024-01-07,Emma Weber,emma.weber@example.com,Netherlands,Office Supplies,2.0,731.28,53.0,
ORD2437,2024-03-06,Sofia Schmidt,sofia.schmidt@example.com,Netherlands,Electronics,1.0,1082.29,,1082.29
ORD3174,2024-09-01,Jonas Müller,,France,Furniture,1.0,1316.62,55.0,1316.62
ORD2069,2024-03-27,Lukas Klein,lukas.klein@example.com,UK,Electronics,2.0,1412.0,,2824.0
ORD2742,2024-07-13,Anna Weber,anna.weber@example.com,Netherlands,Office Supplies,1.0,252.84,43.0,252.84
ORD2127,2024-04-13,Anna Wagner,anna.wagner@example.com,Germany,Furniture,4.0,736.42,28.0,
ORD3369,2024-09-12,Jonas Becker,jonas.becker@example.com,Germany,Office Supplies,1.0,806.34,30.0,806.34
ORD3236,2024-08-16,Marie Schmidt,marie.schmidt@example.com,Netherlands,Furniture,2.0,268.99,40.0,537.98
ORD1846,2024-08-12,Lukas Wagner,lukas.wagner@example.com,Germany,Furniture,2.0,572.52,59.0,1145.04
ORD1977,2024-02-23,Felix Weber,felix.weber@example.com,Germany,Furniture,2.0,656.88,44.0,1313.76
ORD2528,2024-01-01,Felix Becker,felix.becker@example.com,Netherlands,Furniture,3.0,846.79,62.0,2540.37
ORD3297,2024-03-20,Sofia Wagner,sofia.wagner@example.com,UK,Office Supplies,5.0,21.09,65.0,105.45
ORD2706,2024-08-14,Emma Schmidt,emma.schmidt@example.com,Spain,Electronics,1.0,884.88,36.0,884.88
ORD1347,2024-02-15,Jonas Klein,jonas.klein@example.com,France,,4.0,484.66,66.0,1938.64
ORD1137,2024-04-01,Jonas Fischer,jonas.fischer@example.com,Netherlands,Office Supplies,4.0,1117.54,,4470.16
ORD1551,2024-06-18,Emma Schmidt,emma.schmidt@example.com,France,Furniture,5.0,453.03,52.0,2265.15
ORD1476,2024-04-04,Lukas Schmidt,lukas.schmidt@example.com,France,Electronics,5.0,595.51,60.0,2977.55
ORD1072,2024-08-19,Jonas Becker,jonas.becker@example.com,UK,Furniture,3.0,912.87,41.0,2738.61
ORD1048,2024-06-19,Anna Fischer,,Germany,Office Supplies,5.0,1379.21,20.0,6896.05
ORD1431,2024-01-20,Paul Schmidt,paul.schmidt@example.com,Netherlands,Office Supplies,3.0,753.73,22.0,2261.19
ORD2065,2024-02-23,Paul Weber,paul.weber@example.com,Germany,Furniture,3.0,561.25,30.0,1683.75
ORD2614,2024-03-26,Marie Müller,marie.müller@example.com,Germany,Office Supplies,5.0,1199.05,,5995.25
ORD1062,2024-09-03,Marie Becker,marie.becker@example.com,UK,Furniture,2.0,207.05,48.0,414.1
ORD3244,2024-01-18,Felix Fischer,,France,Furniture,2.0,137.77,66.0,275.54
ORD1112,2024-01-29,Sofia Fischer,sofia.fischer@example.com,Netherlands,Office Supplies,1.0,372.66,35.0,372.66
ORD3175,2024-07-28,Marie Müller,marie.müller@example.com,Germany,Office Supplies,2.0,529.22,36.0,1058.44
