order_id,order_date,customer_name,email,country,category,quantity,unit_price,customer_age
ORD3316,July 18 2024,Paul  Becker ,  paul.becker@example.com  ,The Netherlands,Electronics,2,€522.54,44
ORD1515,04/01/2024,  Anna Schmidt,  anna.schmidt@example.com  ,germany,Electronics,2,€1083.82,29
ORD2867,07/04/2024,Felix Weber,  Felix.Weber@Example.Com  ,spain ,Office Supplies,3,€459.81,60
ORD3420,2024-01-16,Sofia Klein,  sofia.klein@example.com  ,United Kingdom,Furniture,3,"€1,041.54",52
ORD1842,May 29 2024,Paul Schmidt,  paul.schmidt@example.com  ,FR,Furniture,5,€315.68,36
ORD1263,March 23 2024,  Sofia Wagner,  SOFIA.WAGNER@EXAMPLE.COM  ,DE,Furniture,3,€757.55,43
ORD3379,02/16/2024,Anna Becker,  ANNA.BECKER@EXAMPLE.COM  ,United Kingdom,Office Supplies,4,N/A,24
ORD1221,06.03.2024,Lukas Klein,  lukas.klein@example.com  ,Netherlands,Office Supplies,-1,153.12,28
ORD1312,08/10/2024,Lukas  Schmidt ,  lukas.schmidt@example.com  ,Spain,Electronics,3,265.33,42
ORD2845,July 06 2024,  Anna Klein,  Anna.Klein@Example.Com  , germany,Office Supplies,1,"1,418.42",46
ORD2395,27/07/2024,  Sofia Wagner,  SOFIA.WAGNER@EXAMPLE.COM  ,ES,Office Supplies,5,€1179.30,24
ORD2368,18.03.2024,Sofia Weber,  Sofia.Weber@Example.Com  ,GERMANY ,Electronics,1,615.44,29
ORD3303,08/16/2024,Jonas Weber,  JONAS.WEBER@EXAMPLE.COM  ,FR,Electronics,4,"1,077.91",44
ORD1463,07/01/2024,Emma  Weber ,  Emma.Weber@Example.Com  ,The Netherlands,Office Supplies,2,null,53
ORD2437,06.03.2024,Sofia  Schmidt ,  SOFIA.SCHMIDT@EXAMPLE.COM  ,The Netherlands,Electronics,1,"€1,082.29",null
ORD3174,01.09.2024,Jonas Müller,N/A, France,Furniture,1,"1,316.62",55
ORD2069,2024-03-27,Lukas  Klein ,  LUKAS.KLEIN@EXAMPLE.COM  ,England,Electronics,2,1412.00, 
ORD2742,2024-07-13,Anna  Weber ,  anna.weber@example.com  ,Netherlands,Office Supplies,1,252.84,43
ORD2127,13/04/2024,Anna Wagner,  anna.wagner@example.com  ,GERMANY ,Furniture,4,null,28
ORD3369,2024-09-12,Jonas  Becker ,  JONAS.BECKER@EXAMPLE.COM  ,Germany,Office Supplies,1,806.34,30
ORD3236,2024-08-16,Marie  Schmidt ,  MARIE.SCHMIDT@EXAMPLE.COM  ,Netherlands,Furniture,2,€268.99,40
ORD1846,August 12 2024,Lukas  Wagner ,  LUKAS.WAGNER@EXAMPLE.COM  ,DE,Furniture,2,€572.52,59
ORD1977,23.02.2024,Felix  Weber ,  FELIX.WEBER@EXAMPLE.COM  ,Deutschland,Furniture,2,656.88,44
ORD2528,01/01/2024,Felix Becker,  felix.becker@example.com  ,NL,Furniture,3,€846.79,62
ORD3297,2024-03-20,Sofia Wagner,  SOFIA.WAGNER@EXAMPLE.COM  ,uk,Office Supplies,5,€21.09,65
ORD2706,14/08/2024,Emma  Schmidt ,  Emma.Schmidt@Example.Com  ,ES,Electronics,1,€884.88,36
ORD1347,2024-02-15,Jonas Klein,  jonas.klein@example.com  ,FR,-,4,€484.66,66
ORD1137,2024-04-01,Jonas  Fischer ,  Jonas.Fischer@Example.Com  ,NL,Office Supplies,4,1117.54,-
ORD1551,06/18/2024,Emma Schmidt,  EMMA.SCHMIDT@EXAMPLE.COM  , France,Furniture,5,453.03,52
ORD1476,2024-04-04,  Lukas Schmidt,  LUKAS.SCHMIDT@EXAMPLE.COM  ,FR,Electronics,5,€595.51,60
